time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,pose_cov_0,pose_cov_1,pose_cov_2,pose_cov_3,pose_cov_4,pose_cov_5,pose_cov_6,pose_cov_7,pose_cov_8,pose_cov_9,pose_cov_10,pose_cov_11,pose_cov_12,pose_cov_13,pose_cov_14,pose_cov_15,pose_cov_16,pose_cov_17,pose_cov_18,pose_cov_19,pose_cov_20,pose_cov_21,pose_cov_22,pose_cov_23,pose_cov_24,pose_cov_25,pose_cov_26,pose_cov_27,pose_cov_28,pose_cov_29,pose_cov_30,pose_cov_31,pose_cov_32,pose_cov_33,pose_cov_34,pose_cov_35,twist_cov_0,twist_cov_1,twist_cov_2,twist_cov_3,twist_cov_4,twist_cov_5,twist_cov_6,twist_cov_7,twist_cov_8,twist_cov_9,twist_cov_10,twist_cov_11,twist_cov_12,twist_cov_13,twist_cov_14,twist_cov_15,twist_cov_16,twist_cov_17,twist_cov_18,twist_cov_19,twist_cov_20,twist_cov_21,twist_cov_22,twist_cov_23,twist_cov_24,twist_cov_25,twist_cov_26,twist_cov_27,twist_cov_28,twist_cov_29,twist_cov_30,twist_cov_31,twist_cov_32,twist_cov_33,twist_cov_34,twist_cov_35
1769396971.5540893,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999999e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999999e-10,0.0,0.0,0.0,0.0,0.0,0.0,4.999999999999999e-10
1769396971.5638628,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.000502401000100965,-9.968839654196145e-47,4.715946041467264e-46,0.0,0.0,0.0,2.357973020733632e-46,0.000502401000100965,8.833418819846688e-62,0.0,0.0,0.0,-1.993767930839229e-46,1.0591561941481261e-61,0.0006028810001009649,0.0,0.0,0.0,0.0,0.0,0.0,9.999966826012392e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999966826012392e-10,8.463633466640541e-47,0.0,0.0,0.0,0.0,8.463633465841531e-47,9.999983412978682e-10,0.00025120100010096237,0.0,0.0,0.0,0.0,0.0,0.0,0.00025120100010096237,0.0,0.0,0.0,0.0,0.0,0.0,0.0004019210001009624,0.0,0.0,0.0,0.0,0.0,0.0,9.999900479192687e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999900479192687e-10,-2.5390900398328575e-46,0.0,0.0,0.0,0.0,-2.5390900398328575e-46,9.999950239224927e-10
1769396971.5738506,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.0010071766002137444,4.69003787562696e-41,-1.8810401779138527e-24,0.0,0.0,0.0,-7.180126255190834e-41,0.0010071766002137444,1.1518049164748831e-40,0.0,0.0,0.0,-1.881040177913853e-24,1.1518049164748833e-40,0.0012086219600724334,0.0,0.0,0.0,0.0,0.0,0.0,9.999966980571379e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999966980571379e-10,6.7549779061312e-46,0.0,0.0,0.0,0.0,6.754977906088254e-46,9.999983490231172e-10,0.0005035862402245725,0.0,0.0,0.0,0.0,0.0,0.0,0.0005035862402245725,0.0,0.0,0.0,0.0,0.0,0.0,0.0008057363601339885,0.0,0.0,0.0,0.0,0.0,0.0,9.999900943022416e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999900943022416e-10,-1.0108799688273059e-45,0.0,0.0,0.0,0.0,-1.0108799688273056e-45,9.999950471020593e-10
1769396971.5842304,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.001513629611021768,-4.150956511417344e-40,-9.450062532708716e-24,0.0,0.0,0.0,5.253183634495785e-41,0.001513629611021768,5.7864944162120295e-40,0.0,0.0,0.0,-9.45006253270872e-24,5.7864944162120295e-40,0.0018164067766383298,0.0,0.0,0.0,0.0,0.0,0.0,9.999967084907785e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999967084907785e-10,6.728536811893688e-46,0.0,0.0,0.0,0.0,6.7285368119234724e-46,9.999983542399718e-10,0.0007568024431719518,0.0,0.0,0.0,0.0,0.0,0.0,0.0007568024431719518,0.0,0.0,0.0,0.0,0.0,0.0,0.0012108781642997913,0.0,0.0,0.0,0.0,0.0,0.0,9.999901256023374e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999901256023374e-10,-1.0076859162230558e-45,0.0,0.0,0.0,0.0,-1.0076859162230561e-45,9.999950627524168e-10
1769396971.5939674,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.0020400241304111117,5.208146988692176e-40,-2.741672062060036e-23,0.0,0.0,0.0,-1.1845143736517104e-39,0.0020400241304111117,1.6787899575567734e-39,0.0,0.0,0.0,-2.741672062060037e-23,1.6787899575567734e-39,0.002448178004924479,0.0,0.0,0.0,0.0,0.0,0.0,9.99996832355588e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.99996832355588e-10,6.59149475155286e-46,0.0,0.0,0.0,0.0,6.591494751544203e-46,9.999984161727768e-10,0.0010199752422248378,0.0,0.0,0.0,0.0,0.0,0.0,0.0010199752422248378,0.0,0.0,0.0,0.0,0.0,0.0,0.0016319448625052222,0.0,0.0,0.0,0.0,0.0,0.0,9.999904971871665e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999904971871665e-10,-9.697663138504836e-46,0.0,0.0,0.0,0.0,-9.697663138504837e-46,9.999952485484316e-10
1769396971.6040854,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.0025708699127087076,2.3521600248977852e-39,-6.017127481569474e-23,0.0,0.0,0.0,-2.727379384099282e-39,0.0025708699127087076,3.6844279551828157e-39,0.0,0.0,0.0,-6.017127481569475e-23,3.684427955182815e-39,0.003085371248454308,0.0,0.0,0.0,0.0,0.0,0.0,9.99996857737195e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.99996857737195e-10,6.4391968258265154e-46,0.0,0.0,0.0,0.0,6.439196825941387e-46,9.999984288636603e-10,0.0012853535254946681,0.0,0.0,0.0,0.0,0.0,0.0,0.0012853535254946681,0.0,0.0,0.0,0.0,0.0,0.0,0.0020565322869209707,0.0,0.0,0.0,0.0,0.0,0.0,9.999905733300646e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999905733300646e-10,-9.619965796296117e-46,0.0,0.0,0.0,0.0,-9.619965796296123e-46,9.999952866206011e-10
1769396971.614086,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.00308094174772903,1.0327021501814384e-38,-1.095346421388561e-22,0.0,0.0,0.0,-7.524119322443618e-39,0.00308094174772903,6.707062444555046e-39,0.0,0.0,0.0,-1.095346421388561e-22,6.707062444555045e-39,0.0036977261659581475,0.0,0.0,0.0,0.0,0.0,0.0,9.999967281983508e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999967281983508e-10,6.5454815046616525e-46,0.0,0.0,0.0,0.0,6.545481504716322e-46,9.999983640938227e-10,0.0015403221888452218,0.0,0.0,0.0,0.0,0.0,0.0,0.0015403221888452218,0.0,0.0,0.0,0.0,0.0,0.0,0.0024644552813712305,0.0,0.0,0.0,0.0,0.0,0.0,9.99990184723503e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.99990184723503e-10,-1.001653417694782e-45,0.0,0.0,0.0,0.0,-1.0016534176947822e-45,9.999950923135815e-10
1769396971.6239176,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.0036319475484485964,2.674413732568967e-38,-1.8710851885846182e-22,0.0,0.0,0.0,-1.7823447827116873e-38,0.0036319475484485964,1.1457092435660872e-38,0.0,0.0,0.0,-1.8710851885846178e-22,1.1457092435660868e-38,0.004359355405451846,0.0,0.0,0.0,0.0,0.0,0.0,9.999969694398323e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999969694398323e-10,6.43149922163911e-46,0.0,0.0,0.0,0.0,6.43149922162397e-46,9.999984847153238e-10,0.0018157193469367414,0.0,0.0,0.0,0.0,0.0,0.0,0.0018157193469367414,0.0,0.0,0.0,0.0,0.0,0.0,0.0029050485177706032,0.0,0.0,0.0,0.0,0.0,0.0,9.999909084297032e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999909084297032e-10,-9.277996738225918e-46,0.0,0.0,0.0,0.0,-9.277996738225918e-46,9.999954541735233e-10
1769396971.644385,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.004194292954728882,5.019276250068783e-38,-2.969792285962466e-22,0.0,0.0,0.0,-3.6838551325108455e-38,0.004194292954728882,1.818473308568217e-38,0.0,0.0,0.0,-2.9697922859624646e-22,1.8184733085682164e-38,0.0050347679741614484,0.0,0.0,0.0,0.0,0.0,0.0,9.999970283377721e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999970283377721e-10,6.125222236944322e-46,0.0,0.0,0.0,0.0,6.125222236839355e-46,9.999985141644704e-10,0.002096742189366998,0.0,0.0,0.0,0.0,0.0,0.0,0.002096742189366998,0.0,0.0,0.0,0.0,0.0,0.0,0.003354625280538858,0.0,0.0,0.0,0.0,0.0,0.0,9.999910851192806e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999910851192806e-10,-9.097697158551403e-46,0.0,0.0,0.0,0.0,-9.0976971585514e-46,9.999955425199028e-10
1769396971.653914,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.004731729866519081,7.754281366779014e-38,-4.3561073273118815e-22,0.0,0.0,0.0,-6.179605742748349e-38,0.004731729866519081,2.667346447567413e-38,0.0,0.0,0.0,-4.35610732731188e-22,2.667346447567412e-38,0.005680446898089607,0.0,0.0,0.0,0.0,0.0,0.0,9.99996887953893e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.99996887953893e-10,6.208372289504969e-46,0.0,0.0,0.0,0.0,6.208372289479048e-46,9.999984439721039e-10,0.002365271420083672,0.0,0.0,0.0,0.0,0.0,0.0,0.002365271420083672,0.0,0.0,0.0,0.0,0.0,0.0,0.0037841966256588707,0.0,0.0,0.0,0.0,0.0,0.0,9.999906639778917e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999906639778917e-10,-9.527469346043467e-46,0.0,0.0,0.0,0.0,-9.527469346043469e-46,9.99995331945365e-10
