time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw,vx,vy,vz,wx,wy,wz,pose_cov_0,pose_cov_1,pose_cov_2,pose_cov_3,pose_cov_4,pose_cov_5,pose_cov_6,pose_cov_7,pose_cov_8,pose_cov_9,pose_cov_10,pose_cov_11,pose_cov_12,pose_cov_13,pose_cov_14,pose_cov_15,pose_cov_16,pose_cov_17,pose_cov_18,pose_cov_19,pose_cov_20,pose_cov_21,pose_cov_22,pose_cov_23,pose_cov_24,pose_cov_25,pose_cov_26,pose_cov_27,pose_cov_28,pose_cov_29,pose_cov_30,pose_cov_31,pose_cov_32,pose_cov_33,pose_cov_34,pose_cov_35,twist_cov_0,twist_cov_1,twist_cov_2,twist_cov_3,twist_cov_4,twist_cov_5,twist_cov_6,twist_cov_7,twist_cov_8,twist_cov_9,twist_cov_10,twist_cov_11,twist_cov_12,twist_cov_13,twist_cov_14,twist_cov_15,twist_cov_16,twist_cov_17,twist_cov_18,twist_cov_19,twist_cov_20,twist_cov_21,twist_cov_22,twist_cov_23,twist_cov_24,twist_cov_25,twist_cov_26,twist_cov_27,twist_cov_28,twist_cov_29,twist_cov_30,twist_cov_31,twist_cov_32,twist_cov_33,twist_cov_34,twist_cov_35
1769287905.3140123,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.000541401000117249,-1.2372581931319704e-46,1.2264609697821956e-45,0.0,0.0,0.0,6.132304848910978e-46,0.000541401000117249,9.77696933635161e-62,0.0,0.0,0.0,-2.474516386263941e-46,1.1046178447963537e-61,0.000649681000117249,0.0,0.0,0.0,0.0,0.0,0.0,9.999969215708615e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999969215708615e-10,7.853967189304988e-47,0.0,0.0,0.0,0.0,7.853967189099197e-47,9.999984607830615e-10,0.0002707010001172456,0.0,0.0,0.0,0.0,0.0,0.0,0.0002707010001172456,0.0,0.0,0.0,0.0,0.0,0.0,0.00043312100011724564,0.0,0.0,0.0,0.0,0.0,0.0,9.99990764812087e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.99990764812087e-10,-2.3561901568175104e-46,0.0,0.0,0.0,0.0,-2.356190156817509e-46,9.9999538237406e-10
1769287905.3473694,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.002056528283019105,3.4997249878773684e-39,-2.7721848073574085e-23,0.0,0.0,0.0,-3.926306212096194e-39,0.002056528283019105,1.6974736254875854e-39,0.0,0.0,0.0,-2.7721848073574074e-23,1.6974736254875854e-39,0.002467984649087206,0.0,0.0,0.0,0.0,0.0,0.0,9.9999669674828e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.9999669674828e-10,6.723251937847685e-46,0.0,0.0,0.0,0.0,6.723251937766109e-46,9.99998348368684e-10,0.0010282269033089282,0.0,0.0,0.0,0.0,0.0,0.0,0.0010282269033089282,0.0,0.0,0.0,0.0,0.0,0.0,0.0016451473541178423,0.0,0.0,0.0,0.0,0.0,0.0,9.99990090375772e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.99990090375772e-10,-1.0112808059347168e-45,0.0,0.0,0.0,0.0,-1.0112808059347165e-45,9.999950451387856e-10
1769287905.3807719,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.003600267788477575,7.687734132984397e-39,-1.812483644048429e-22,0.0,0.0,0.0,-9.692209286658242e-39,0.003600267788477575,1.1098261465954199e-38,0.0,0.0,0.0,-1.8124836440484294e-22,1.1098261465954197e-38,0.004321307793688311,0.0,0.0,0.0,0.0,0.0,0.0,9.999966865693414e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999966865693414e-10,6.730668185582035e-46,0.0,0.0,0.0,0.0,6.730668185725523e-46,9.99998343279181e-10,0.0017998874594341923,0.0,0.0,0.0,0.0,0.0,0.0,0.0017998874594341923,0.0,0.0,0.0,0.0,0.0,0.0,0.002879720686562456,0.0,0.0,0.0,0.0,0.0,0.0,9.999900598397638e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999900598397638e-10,-1.014396968180688e-45,0.0,0.0,0.0,0.0,-1.0143969681806879e-45,9.999950298704782e-10
1769287905.4145398,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.005122673612174415,3.7549691162265686e-38,-5.600473343477229e-22,0.0,0.0,0.0,-3.920320211929962e-38,0.005122673612174415,3.429300876899732e-38,0.0,0.0,0.0,-5.600473343477232e-22,3.4293008768997324e-38,0.006150256745707593,0.0,0.0,0.0,0.0,0.0,0.0,9.99996689202165e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.99996689202165e-10,6.7060314521654774e-46,0.0,0.0,0.0,0.0,6.7060314521393625e-46,9.999983445956016e-10,0.002560573341235118,0.0,0.0,0.0,0.0,0.0,0.0,0.002560573341235118,0.0,0.0,0.0,0.0,0.0,0.0,0.00409661200661993,0.0,0.0,0.0,0.0,0.0,0.0,9.999900677380259e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999900677380259e-10,-1.013591061786276e-45,0.0,0.0,0.0,0.0,-1.0135910617862762e-45,9.999950338196879e-10
1769287905.4475465,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.0071600723095303674,-1.4279367387158077e-38,-1.595753878184502e-21,0.0,0.0,0.0,6.612425581110346e-40,0.0071600723095303674,9.771174395728127e-38,0.0,0.0,0.0,-1.595753878184503e-21,9.771174395728131e-38,0.00860077262879708,0.0,0.0,0.0,0.0,0.0,0.0,9.999967094655525e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999967094655525e-10,6.721544914139678e-46,0.0,0.0,0.0,0.0,6.7215449141203326e-46,9.99998354727362e-10,0.0035778547193610756,0.0,0.0,0.0,0.0,0.0,0.0,0.0035778547193610756,0.0,0.0,0.0,0.0,0.0,0.0,0.005723699068850406,0.0,0.0,0.0,0.0,0.0,0.0,9.99990128526583e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.99990128526583e-10,-1.0073875284140055e-45,0.0,0.0,0.0,0.0,-1.0073875284140052e-45,9.999950642145685e-10
1769287905.480807,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.008721353271527859,9.042837727145134e-38,-2.931140741760609e-21,0.0,0.0,0.0,-9.040526769346143e-38,0.008721353271527859,1.794806063623764e-37,0.0,0.0,0.0,-2.931140741760611e-21,1.7948060636237648e-37,0.010481577852043662,0.0,0.0,0.0,0.0,0.0,0.0,9.999967871692401e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999967871692401e-10,6.63793589066644e-46,0.0,0.0,0.0,0.0,6.637935890537119e-46,9.999983935794588e-10,0.004356659869902982,0.0,0.0,0.0,0.0,0.0,0.0,0.004356659869902982,0.0,0.0,0.0,0.0,0.0,0.0,0.006969061789780958,0.0,0.0,0.0,0.0,0.0,0.0,9.999903616315823e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999903616315823e-10,-9.83599553966214e-46,0.0,0.0,0.0,0.0,-9.835995539662143e-46,9.99995180769342e-10
1769287905.5140753,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.010277292459595161,1.2798178052553575e-37,-4.839712348722331e-21,0.0,0.0,0.0,-7.971433342120145e-38,0.010277292459595161,2.96346911832836e-37,0.0,0.0,0.0,-4.839712348722335e-21,2.9634691183283617e-37,0.012359091709978964,0.0,0.0,0.0,0.0,0.0,0.0,9.999966865693412e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999966865693412e-10,6.70157316055535e-46,0.0,0.0,0.0,0.0,6.701573160587212e-46,9.99998343279181e-10,0.005131995208341931,0.0,0.0,0.0,0.0,0.0,0.0,0.005131995208341931,0.0,0.0,0.0,0.0,0.0,0.0,0.008208562291658358,0.0,0.0,0.0,0.0,0.0,0.0,9.999900598397638e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999900598397638e-10,-1.0143970983282936e-45,0.0,0.0,0.0,0.0,-1.0143970983282934e-45,9.999950298704782e-10
1769287905.5484483,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.011836624120530355,4.5577287647372065e-38,-7.426504468590778e-21,0.0,0.0,0.0,-2.953180248735496e-38,0.011836624120530355,4.547422463156605e-37,0.0,0.0,0.0,-7.426504468590783e-21,4.547422463156608e-37,0.014244366131547424,0.0,0.0,0.0,0.0,0.0,0.0,9.999967052373557e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999967052373557e-10,6.720546515782484e-46,0.0,0.0,0.0,0.0,6.720546515806037e-46,9.9999835261325e-10,0.005908072969791293,0.0,0.0,0.0,0.0,0.0,0.0,0.005908072969791293,0.0,0.0,0.0,0.0,0.0,0.0,0.009448883927142545,0.0,0.0,0.0,0.0,0.0,0.0,9.999901158423269e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999901158423269e-10,-1.0086819594892328e-45,0.0,0.0,0.0,0.0,-1.008681959489233e-45,9.999950578723153e-10
1769287905.580897,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.013961853034424404,2.9659060456819393e-37,-1.219974456051643e-20,0.0,0.0,0.0,-2.7895092429091753e-37,0.013961853034424404,7.4701890632258894e-37,0.0,0.0,0.0,-1.2199744560516435e-20,7.4701890632258894e-37,0.016820611508657227,0.0,0.0,0.0,0.0,0.0,0.0,9.99996692159095e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.99996692159095e-10,6.734886817973872e-46,0.0,0.0,0.0,0.0,6.7348868179930665e-46,9.999983460740763e-10,0.0069640210593658524,0.0,0.0,0.0,0.0,0.0,0.0,0.0069640210593658524,0.0,0.0,0.0,0.0,0.0,0.0,0.011135816050984508,0.0,0.0,0.0,0.0,0.0,0.0,9.999900766085807e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999900766085807e-10,-1.0126856939442085e-45,0.0,0.0,0.0,0.0,-1.0126856939442085e-45,9.999950382550535e-10
1769287905.6142535,0.0,0.0,0.0,0.7071067811865476,0.7071067811865475,4.329780281177466e-17,4.329780281177467e-17,3.141592653589793,0.0,1.5707963267948963,0.0,0.0,0.0,0.0,0.0,0.0,0.01556152368559966,2.0133238958800233e-37,-1.6857151626086134e-20,0.0,0.0,0.0,-2.907806851882797e-37,0.01556152368559966,1.0322028390813988e-36,0.0,0.0,0.0,-1.6857151626086137e-20,1.032202839081399e-36,0.01876555277460902,0.0,0.0,0.0,0.0,0.0,0.0,9.99996712386414e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.99996712386414e-10,6.643770709766938e-46,0.0,0.0,0.0,0.0,6.643770709778278e-46,9.999983561878027e-10,0.007757302271339239,0.0,0.0,0.0,0.0,0.0,0.0,0.007757302271339239,0.0,0.0,0.0,0.0,0.0,0.0,0.012402547859995424,0.0,0.0,0.0,0.0,0.0,0.0,9.999901372889372e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.999901372889372e-10,-1.0064936765211594e-45,0.0,0.0,0.0,0.0,-1.0064936765211594e-45,9.99995068595832e-10
